station_distance,total_price,area,next_use,city_planning,age,renovation_flg,number_of_floor,kitchen_level,service_room
7,2.2e+07,50,住宅,商業地域,39,1,2,LDK,0
7,1.9e+07,40,事務所,商業地域,39,1,2,DK,0
8,2.5e+07,50,住宅,商業地域,33,0,2,LDK,0
9,1.9e+07,35,住宅,商業地域,40,1,2,K,0
3,2.7e+07,55,住宅,準工業地域,22,0,3,LDK,0
4,3.5e+07,65,住宅,準工業地域,16,1,2,LDK,1
5,3.2e+07,65,住宅,準工業地域,18,0,3,LDK,0
0,3e+07,55,住宅,第１種住居地域,11,0,2,LDK,1
5,2.3e+07,50,住宅,準工業地域,30,0,3,K,0
8,1.3e+07,60,住宅,準工業地域,38,0,3,DK,0
8,2.2e+07,60,住宅,準工業地域,38,0,3,DK,0
11,2e+07,50,住宅,商業地域,19,0,2,DK,0
3,1.5e+07,30,住宅,準工業地域,31,1,1,DK,0
10,1.4e+07,60,住宅,準工業地域,33,0,3,LDK,0
12,3.9e+07,80,住宅,準工業地域,16,0,3,LDK,0
7,2.2e+07,50,住宅,準工業地域,37,1,3,LDK,0
6,3.4e+07,65,住宅,商業地域,12,0,3,LDK,0
12,2.1e+07,25,住宅,近隣商業地域,2,0,1,K,0
12,2.6e+07,25,住宅,近隣商業地域,2,0,1,K,0
6,1.3e+07,40,住宅,商業地域,30,1,1,LDK,0
3,3.4e+07,55,住宅,準工業地域,5,0,1,LDK,1
8,3.4e+07,110,住宅,準工業地域,38,0,5,DK,0
5,2.7e+07,55,住宅,商業地域,37,1,3,LDK,0
8,4.2e+07,45,住宅,近隣商業地域,2,0,2,LDK,0
8,2.5e+07,25,住宅,近隣商業地域,2,0,1,DK,0
8,2.6e+07,25,住宅,近隣商業地域,2,0,1,K,0
13,7200000,15,住宅,商業地域,30,0,1,K,0
13,3.5e+07,55,住宅,商業地域,9,0,2,LDK,0
13,5500000,15,住宅,商業地域,30,0,1,R,0
13,3.7e+07,55,住宅,商業地域,9,0,2,LDK,0
4,3.4e+07,50,住宅,商業地域,7,0,2,LDK,0
3,2.5e+07,25,住宅,商業地域,2,0,1,K,0
3,2.5e+07,25,住宅,商業地域,2,1,1,K,0
3,2.9e+07,25,その他,商業地域,2,0,1,K,0
4,2.4e+07,50,住宅,準工業地域,39,1,2,LDK,0
3,2.8e+07,25,住宅,商業地域,2,0,1,K,0
3,2.8e+07,25,住宅,商業地域,2,1,1,K,0
3,2.7e+07,25,その他,準工業地域,2,0,1,K,0
1,2.9e+07,50,住宅,準工業地域,20,0,2,LDK,0
1,5.4e+07,70,住宅,商業地域,6,0,3,LDK,0
4,4e+07,55,住宅,商業地域,15,0,2,LDK,0
4,3.5e+07,40,住宅,商業地域,3,1,1,LDK,0
4,3.6e+07,40,住宅,商業地域,3,0,1,DK,0
5,5.6e+07,70,住宅,準工業地域,10,0,3,LDK,0
7,3.8e+07,40,住宅,商業地域,3,1,1,LDK,0
11,2.9e+07,50,住宅,商業地域,20,1,2,LDK,0
6,2.5e+07,30,住宅,商業地域,7,0,1,LDK,0
10,2.1e+07,15,住宅,商業地域,12,0,1,K,0
7,3.4e+07,40,住宅,商業地域,3,0,1,LDK,0
5,4.4e+07,55,住宅,準工業地域,10,0,2,LDK,0
8,4.4e+07,70,住宅,準工業地域,11,0,3,LDK,0
9,3.4e+07,30,その他,準工業地域,9,0,1,DK,0
2,4.8e+07,75,住宅,商業地域,18,0,3,LDK,0
11,4.5e+07,65,住宅,商業地域,7,0,2,LDK,0
6,3.2e+07,50,住宅,準工業地域,18,0,2,LDK,0
4,4.3e+07,40,住宅,商業地域,3,1,1,LDK,0
3,2.8e+07,25,住宅,準工業地域,2,0,1,K,0
7,9900000,25,住宅,準工業地域,30,0,1,K,0
3,3.3e+07,40,住宅,近隣商業地域,10,0,1,LDK,0
1,7e+07,70,住宅,商業地域,10,0,2,LDK,1
1,8e+07,75,住宅,商業地域,10,0,3,LDK,0
3,6.8e+07,60,住宅,商業地域,9,0,2,LDK,0
1,9.8e+07,80,住宅,商業地域,10,0,3,LDK,0
1,4.6e+07,45,住宅,商業地域,10,0,1,LDK,0
3,4.5e+07,65,住宅,準工業地域,19,0,3,LDK,0
5,3.3e+07,60,その他,準工業地域,16,0,3,LDK,0
5,2.7e+07,25,住宅,準工業地域,2,1,1,K,0
3,3.7e+07,60,住宅,商業地域,11,0,2,LDK,0
1,2.8e+07,35,住宅,商業地域,8,0,1,DK,0
5,2.1e+07,30,その他,近隣商業地域,10,0,1,K,0
4,2.9e+07,60,住宅,商業地域,13,0,3,LDK,0
2,7700000,15,住宅,近隣商業地域,29,1,1,R,0
4,2.4e+07,50,住宅,商業地域,13,0,2,LDK,0
3,2e+07,50,住宅,商業地域,9,0,2,LDK,0
3,2e+07,70,住宅,商業地域,9,0,3,LDK,0
14,2.6e+07,55,住宅,近隣商業地域,36,1,3,LDK,0
14,3.2e+07,65,住宅,近隣商業地域,15,0,3,LDK,0
14,2.6e+07,65,住宅,準工業地域,16,0,3,LDK,0
9,3.4e+07,55,住宅,近隣商業地域,27,1,3,LDK,0
14,2.5e+07,60,住宅,近隣商業地域,15,0,3,LDK,0
5,4.1e+07,65,住宅,準工業地域,6,0,3,LDK,0
5,2.8e+07,25,その他,準工業地域,3,0,1,DK,0
8,1400000,15,住宅,準工業地域,30,0,1,K,0
6,5.4e+07,75,事務所,商業地域,17,0,3,LDK,0
6,2.9e+07,65,住宅,商業地域,14,0,3,LDK,0
9,3.2e+07,55,住宅,準工業地域,16,0,1,LDK,0
12,2.3e+07,20,住宅,準工業地域,5,0,1,K,0
10,3.8e+07,60,住宅,準工業地域,18,0,3,LDK,0
5,4.5e+07,55,住宅,商業地域,13,0,1,LDK,0
5,5.8e+07,80,住宅,商業地域,13,1,3,LDK,0
5,1.5e+07,25,住宅,準工業地域,25,1,1,DK,0
8,3.6e+07,60,住宅,準工業地域,10,0,2,LDK,1
7,2e+07,40,住宅,準工業地域,28,0,1,LDK,0
8,2.5e+07,20,住宅,準工業地域,10,0,1,K,0
8,2e+07,20,住宅,準工業地域,10,0,1,K,0
5,1.9e+07,25,住宅,商業地域,9,0,1,K,0
1,5.6e+07,65,住宅,商業地域,4,0,2,LDK,0
10,2.8e+07,50,住宅,準工業地域,22,0,2,LDK,0
3,2.2e+07,55,住宅,商業地域,23,0,3,LDK,0
6,1.8e+07,45,住宅,準工業地域,32,0,3,DK,0
2,2.1e+07,25,住宅,商業地域,10,0,1,K,0
6,2.4e+07,35,住宅,準工業地域,10,0,1,LDK,0
7,2.7e+07,20,住宅,準工業地域,2,0,1,K,0
7,2.8e+07,20,住宅,準工業地域,2,0,1,K,0
7,2.8e+07,20,住宅,準工業地域,2,0,1,K,0
7,2.6e+07,20,住宅,準工業地域,2,0,1,K,0
7,2.8e+07,20,住宅,準工業地域,2,0,1,K,0
2,3e+07,65,住宅,商業地域,29,1,2,LDK,0
7,2.6e+07,20,住宅,準工業地域,2,0,1,K,0
9,2.4e+07,25,住宅,準工業地域,11,0,1,K,0
2,1.3e+07,30,その他,商業地域,11,0,1,K,0
7,2.8e+07,20,住宅,準工業地域,2,0,1,K,0
7,2.8e+07,25,住宅,近隣商業地域,3,0,1,K,0
7,2.7e+07,25,住宅,近隣商業地域,3,0,1,K,0
7,2.6e+07,25,住宅,近隣商業地域,3,0,1,K,0
7,2.9e+07,25,住宅,準工業地域,3,0,1,K,0
7,2.9e+07,25,住宅,準工業地域,3,0,1,K,0
7,2.9e+07,25,住宅,近隣商業地域,3,0,1,K,0
8,8100000,15,住宅,準工業地域,30,0,1,K,0
5,4.2e+07,60,住宅,近隣商業地域,7,0,3,LDK,0
7,2.9e+07,25,その他,準工業地域,3,0,1,K,0
7,2.8e+07,25,住宅,近隣商業地域,3,0,1,K,0
7,2.9e+07,25,その他,準工業地域,3,0,1,K,0
15,3.2e+07,70,住宅,工業地域,38,0,3,LDK,0
16,3.5e+07,65,住宅,準工業地域,7,0,3,LDK,0
11,3.1e+07,50,住宅,準工業地域,19,1,3,LDK,0
11,3.8e+07,65,住宅,商業地域,4,0,3,LDK,0
13,1.8e+07,25,住宅,準工業地域,9,0,1,K,0
14,1.8e+07,50,その他,商業地域,22,0,2,LDK,0
15,3.2e+07,65,住宅,準工業地域,17,0,2,LDK,1
15,1.3e+07,60,住宅,工業地域,38,0,3,LDK,0
13,6500000,20,住宅,近隣商業地域,30,0,1,K,0
15,1.5e+07,35,住宅,準工業地域,17,0,1,LDK,0
7,3.1e+07,60,住宅,準工業地域,21,1,3,LDK,0
3,1.7e+07,50,住宅,商業地域,31,0,2,LDK,0
2,2.7e+07,40,住宅,商業地域,5,1,1,LDK,0
5,1.7e+07,30,住宅,商業地域,28,0,2,DK,0
12,2.5e+07,25,住宅,近隣商業地域,3,1,1,K,0
12,2.5e+07,25,住宅,商業地域,4,0,1,K,0
13,3.9e+07,35,住宅,準工業地域,3,0,2,DK,0
12,2.7e+07,25,その他,商業地域,4,0,1,K,0
5,8e+06,20,住宅,商業地域,28,0,1,DK,0
16,3.2e+07,70,住宅,工業地域,13,0,3,LDK,0
7,6.2e+07,95,住宅,第１種住居地域,10,1,3,LDK,0
11,3.2e+07,75,住宅,第１種住居地域,15,0,3,LDK,0
7,4.4e+07,75,住宅,第１種住居地域,10,0,3,LDK,0
11,4e+07,95,住宅,第１種住居地域,15,0,3,LDK,0
7,3.7e+07,75,住宅,第１種住居地域,10,0,3,LDK,0
5,6.5e+07,145,住宅,第１種住居地域,26,0,3,LDK,0
10,1.9e+07,20,住宅,商業地域,10,0,1,K,0
10,2e+07,20,住宅,商業地域,10,0,1,K,0
9,3.9e+07,70,住宅,第１種住居地域,13,0,3,LDK,0
8,4.9e+07,85,住宅,準工業地域,12,0,4,LDK,0
8,3.5e+07,70,住宅,準工業地域,12,0,3,LDK,0
9,1.4e+07,40,住宅,商業地域,41,0,2,DK,0
6,3.9e+07,60,住宅,商業地域,16,1,2,LDK,0
15,4.4e+07,70,住宅,準工業地域,9,0,3,LDK,0
8,3.7e+07,65,住宅,準工業地域,12,0,3,LDK,0
9,5.2e+07,85,住宅,第１種住居地域,13,0,3,LDK,0
8,3.9e+07,75,住宅,第１種住居地域,13,0,3,LDK,0
15,5.3e+07,80,住宅,準工業地域,9,1,3,LDK,0
9,1.5e+07,20,住宅,商業地域,10,0,1,K,0
8,3.6e+07,65,住宅,準工業地域,12,0,3,LDK,0
15,3.2e+07,60,住宅,準工業地域,12,0,3,LDK,0
9,4.2e+07,70,住宅,第１種住居地域,13,0,3,LDK,0
15,3.9e+07,65,住宅,準工業地域,9,0,3,LDK,0
10,2.3e+07,20,住宅,商業地域,10,0,1,K,0
5,4.1e+07,45,住宅,商業地域,4,0,2,LDK,0
7,3.2e+07,60,住宅,準工業地域,40,1,3,LDK,0
15,2.7e+07,60,住宅,第２種住居地域,20,0,3,LDK,0
10,4.1e+07,70,住宅,準工業地域,8,0,3,LDK,0
5,4.1e+07,70,住宅,商業地域,17,1,3,LDK,0
6,1.6e+07,40,住宅,商業地域,40,0,2,DK,0
5,3.2e+07,70,住宅,商業地域,17,0,3,LDK,0
4,2.3e+07,40,住宅,商業地域,18,0,1,LDK,0
3,2.7e+07,25,住宅,商業地域,2,0,1,K,0
3,3e+07,45,住宅,商業地域,7,0,2,LDK,0
6,1.5e+07,25,住宅,準工業地域,11,0,1,K,0
6,8200000,40,住宅,近隣商業地域,40,0,1,LDK,0
7,2e+07,35,住宅,第１種住居地域,34,1,2,DK,0
8,3.2e+07,65,住宅,近隣商業地域,14,1,3,LDK,0
6,4.4e+07,75,住宅,第１種住居地域,6,0,3,LDK,0
13,3.6e+07,75,住宅,第１種住居地域,11,0,4,LDK,0
9,3.2e+07,75,その他,近隣商業地域,13,0,4,LDK,0
7,1.1e+07,35,その他,第１種住居地域,34,0,2,DK,0
6,4e+07,75,住宅,第１種住居地域,6,0,3,LDK,0
10,3.4e+07,65,住宅,第１種中高層住居専用地域,18,0,3,LDK,0
7,4e+07,80,住宅,第１種中高層住居専用地域,14,0,3,LDK,0
4,2.6e+07,50,住宅,近隣商業地域,23,0,2,LDK,0
4,1.9e+07,20,住宅,第１種中高層住居専用地域,9,0,1,K,0
5,3.4e+07,65,住宅,第１種中高層住居専用地域,18,0,3,LDK,0
4,3e+07,65,住宅,第１種中高層住居専用地域,21,0,3,LDK,0
9,3.7e+07,55,住宅,第１種中高層住居専用地域,23,1,3,LDK,0
4,3.1e+07,55,住宅,第１種中高層住居専用地域,21,0,2,LDK,0
9,1.2e+07,20,住宅,第１種中高層住居専用地域,28,0,1,K,0
5,8500000,15,住宅,第１種中高層住居専用地域,31,0,1,R,0
5,1.4e+07,15,その他,第１種中高層住居専用地域,31,0,1,K,0
5,1.3e+07,15,住宅,第１種中高層住居専用地域,31,0,1,K,0
13,1.4e+07,15,住宅,第１種中高層住居専用地域,28,0,1,K,0
9,7900000,15,住宅,第１種中高層住居専用地域,28,0,1,K,0
9,4.1e+07,60,住宅,第１種中高層住居専用地域,24,1,3,LDK,0
6,6800000,15,その他,第１種中高層住居専用地域,31,0,1,K,0
9,2.9e+07,75,住宅,第１種中高層住居専用地域,35,0,3,LDK,0
9,3.3e+07,75,住宅,第１種中高層住居専用地域,35,1,2,LDK,0
8,2.4e+07,25,住宅,近隣商業地域,2,0,1,K,0
8,2.4e+07,25,住宅,近隣商業地域,2,0,1,K,0
8,2.4e+07,25,住宅,近隣商業地域,2,0,1,K,0
11,5500000,20,住宅,第１種中高層住居専用地域,30,1,1,R,0
11,5100000,20,その他,第１種中高層住居専用地域,30,0,1,R,0
7,3.6e+07,60,住宅,近隣商業地域,15,0,1,LDK,0
11,2.4e+07,25,その他,工業地域,3,0,1,K,0
11,2.2e+07,25,住宅,工業地域,3,0,1,K,0
11,2.3e+07,25,住宅,工業地域,3,0,1,K,0
9,2.9e+07,70,住宅,第１種住居地域,38,1,3,LDK,0
10,3.5e+07,60,住宅,近隣商業地域,17,0,3,LDK,0
7,3.4e+07,70,住宅,商業地域,16,0,3,LDK,0
7,1e+07,15,住宅,準工業地域,28,0,1,R,0
5,4.4e+07,70,住宅,準工業地域,7,0,3,LDK,0
10,1.8e+07,65,住宅,第１種住居地域,38,0,3,LDK,0
8,1.3e+07,15,住宅,第１種住居地域,23,1,1,K,0
10,3e+07,60,住宅,近隣商業地域,17,0,3,LDK,0
9,4.2e+07,65,住宅,準工業地域,12,0,3,LDK,0
9,3.7e+07,60,住宅,準工業地域,17,0,3,LDK,0
10,2.9e+07,65,住宅,準工業地域,33,0,3,LDK,0
11,3.8e+07,85,住宅,準工業地域,18,0,3,LDK,0
7,1.5e+07,60,住宅,準工業地域,37,0,3,LDK,0
11,2.8e+07,80,住宅,準工業地域,38,0,3,LDK,0
10,2.7e+07,60,住宅,第１種住居地域,38,1,3,LDK,0
7,1e+07,60,住宅,準工業地域,37,0,3,LDK,0
11,1.4e+07,65,住宅,準工業地域,38,0,3,LDK,0
11,2.7e+07,60,住宅,準工業地域,17,0,3,LDK,0
8,2.9e+07,65,住宅,準工業地域,21,1,2,LDK,0
8,1.5e+07,55,住宅,準工業地域,40,0,1,LDK,0
7,1.7e+07,20,住宅,準工業地域,28,1,1,K,0
11,3.2e+07,65,住宅,準工業地域,18,1,2,LDK,0
5,1.2e+07,20,その他,商業地域,25,0,1,K,0
5,8e+06,15,住宅,商業地域,25,0,1,K,0
1,3e+07,60,住宅,準工業地域,18,0,3,LDK,0
3,1.3e+07,20,住宅,準工業地域,11,0,1,K,0
3,2.9e+07,60,その他,準工業地域,19,0,2,LDK,0
5,4e+07,50,住宅,近隣商業地域,20,1,2,LDK,0
4,3.6e+07,50,住宅,商業地域,16,0,1,DK,0
5,2e+07,40,住宅,商業地域,34,1,1,LDK,0
4,3.9e+07,70,その他,商業地域,16,0,3,LDK,0
3,9800000,15,住宅,商業地域,30,0,1,K,0
6,4.7e+07,60,住宅,第２種住居地域,22,1,3,LDK,0
5,3.3e+07,65,住宅,商業地域,4,1,2,LDK,0
2,9500000,20,住宅,商業地域,29,0,1,K,0
6,8100000,20,住宅,第１種住居地域,26,0,1,R,0
4,2e+07,40,住宅,第１種住居地域,27,0,1,LDK,0
2,2e+07,50,住宅,商業地域,34,0,3,LDK,0
7,1.1e+07,15,住宅,第１種住居地域,31,0,1,R,0
2,8300000,15,住宅,商業地域,29,0,1,R,0
3,2.2e+07,30,住宅,商業地域,12,0,1,LDK,0
3,1.7e+07,30,住宅,商業地域,13,0,1,LDK,0
2,7900000,15,住宅,商業地域,29,0,1,K,0
2,2.2e+07,50,住宅,商業地域,34,0,3,DK,0
6,2.3e+07,20,住宅,商業地域,10,0,1,K,0
6,1.8e+07,20,住宅,商業地域,10,0,1,K,0
7,9900000,15,住宅,第２種住居地域,30,0,1,R,0
6,1.1e+07,20,住宅,第２種住居地域,30,0,1,K,0
7,9700000,20,住宅,第２種住居地域,30,1,1,K,0
7,8500000,20,住宅,第２種住居地域,30,0,1,K,0
8,1.6e+07,20,住宅,第２種住居地域,10,0,1,K,0
1,5.2e+07,60,住宅,商業地域,4,0,2,LDK,0
2,2.3e+07,50,その他,商業地域,33,0,2,LDK,0
8,3.1e+07,50,住宅,第１種住居地域,29,1,2,LDK,0
1,4.6e+07,55,住宅,商業地域,4,0,2,LDK,0
1,2e+07,50,住宅,商業地域,33,0,3,LDK,0
3,3.3e+07,45,住宅,商業地域,5,0,2,LDK,0
3,1.4e+07,20,住宅,商業地域,10,0,1,K,0
2,2.5e+07,25,住宅,商業地域,9,0,1,DK,0
2,2.4e+07,25,住宅,商業地域,9,0,1,DK,0
4,8500000,20,住宅,商業地域,29,0,1,K,0
1,4.4e+07,55,住宅,商業地域,4,0,2,LDK,0
1,3.6e+07,60,住宅,商業地域,33,1,3,LDK,0
4,2.7e+07,45,住宅,商業地域,7,0,1,LDK,0
4,1.7e+07,20,住宅,商業地域,9,0,1,K,0
6,4.1e+07,55,住宅,近隣商業地域,23,1,3,LDK,0
7,1.7e+07,20,住宅,準工業地域,11,1,1,K,0
7,4.7e+07,65,住宅,準工業地域,4,0,3,LDK,0
5,2e+07,20,住宅,商業地域,9,0,1,K,0
8,1.6e+07,20,住宅,準工業地域,10,0,1,K,0
7,4.5e+07,75,住宅,準工業地域,15,0,3,LDK,0
4,9800000,20,住宅,準工業地域,25,0,1,K,0
7,5e+07,85,住宅,準工業地域,15,0,3,LDK,0
8,2.2e+07,20,住宅,近隣商業地域,10,0,1,K,0
8,1.7e+07,20,住宅,近隣商業地域,10,1,1,K,0
9,3e+07,45,住宅,近隣商業地域,12,0,2,LDK,0
9,2.2e+07,35,住宅,近隣商業地域,12,0,1,LDK,0
8,2.1e+07,20,住宅,近隣商業地域,10,0,1,K,0
9,2.4e+07,55,住宅,近隣商業地域,21,1,2,LDK,0
14,3.2e+07,60,住宅,近隣商業地域,33,1,3,LDK,0
13,4.4e+07,85,住宅,第１種中高層住居専用地域,3,1,3,LDK,0
9,1.7e+07,35,住宅,商業地域,40,1,2,DK,0
9,1.9e+07,20,住宅,商業地域,10,1,1,K,0
6,2.4e+07,25,住宅,商業地域,3,0,1,K,0
6,2.4e+07,25,住宅,商業地域,3,1,1,K,0
9,2.1e+07,20,住宅,商業地域,8,0,1,K,0
8,2.3e+07,30,住宅,商業地域,10,1,1,K,0
3,2.5e+07,25,住宅,第２種住居地域,11,0,1,K,0
3,2.4e+07,30,住宅,第２種住居地域,11,0,1,K,0
5,1.6e+07,20,住宅,商業地域,9,0,1,K,0
3,2.5e+07,30,住宅,第２種住居地域,11,0,1,K,0
0,3.6e+07,50,住宅,商業地域,20,0,2,LDK,0
1,2e+07,25,住宅,近隣商業地域,21,0,1,K,0
9,2e+07,20,住宅,商業地域,12,0,1,K,0
9,2.2e+07,25,住宅,商業地域,12,0,1,K,0
9,2.4e+07,25,その他,商業地域,12,0,1,K,0
8,2.5e+07,25,住宅,商業地域,12,0,1,K,0
5,2.5e+07,25,その他,商業地域,3,0,1,K,0
2,4.9e+07,65,住宅,商業地域,6,0,3,LDK,0
6,3.5e+07,70,住宅,商業地域,15,0,3,LDK,0
6,4.8e+07,70,住宅,第２種住居地域,8,0,3,LDK,0
2,1.8e+07,20,住宅,商業地域,11,0,1,K,0
6,3.8e+07,65,住宅,第２種住居地域,23,0,3,LDK,0
3,2e+07,35,住宅,商業地域,15,0,1,LDK,0
11,5e+07,75,住宅,準工業地域,15,0,3,LDK,0
7,4e+07,75,住宅,準工業地域,35,1,2,LDK,0
8,5.5e+07,65,住宅,準工業地域,5,0,3,LDK,0
11,3.8e+07,75,住宅,準工業地域,15,0,3,LDK,0
9,5e+07,80,住宅,準工業地域,17,0,3,LDK,0
9,4.6e+07,75,住宅,準工業地域,17,0,3,LDK,0
8,4.7e+07,75,住宅,準工業地域,15,1,3,LDK,0
9,4.1e+07,55,住宅,準工業地域,10,0,1,LDK,0
12,6.6e+07,75,住宅,準工業地域,2,0,3,LDK,0
9,4e+07,50,住宅,準工業地域,5,0,2,LDK,0
5,1.9e+07,55,住宅,第１種住居地域,46,0,2,LDK,0
2,2e+07,55,住宅,近隣商業地域,47,0,3,DK,0
4,3.3e+07,70,住宅,商業地域,17,1,3,LDK,0
4,3.8e+07,75,住宅,第１種住居地域,14,0,3,LDK,0
9,2.3e+07,20,住宅,第１種住居地域,10,0,1,K,0
6,3.9e+07,65,住宅,第１種住居地域,12,0,3,LDK,0
6,4.3e+07,65,住宅,第１種住居地域,12,0,3,LDK,0
1,1.5e+07,55,住宅,近隣商業地域,47,0,3,DK,0
1,2.3e+07,55,その他,近隣商業地域,47,0,1,LDK,0
5,2.5e+07,60,住宅,第１種住居地域,46,1,2,LDK,0
11,3.6e+07,50,住宅,商業地域,16,1,2,LDK,0
7,2.7e+07,55,住宅,準工業地域,18,0,1,LDK,0
8,4.2e+07,65,住宅,準工業地域,14,0,3,LDK,0
7,2.6e+07,25,住宅,商業地域,2,0,1,LDK,0
12,2.6e+07,50,住宅,準工業地域,25,1,2,LDK,1
6,2.9e+07,55,住宅,準工業地域,27,1,3,LDK,0
9,1e+07,20,住宅,準工業地域,27,1,1,DK,0
7,4.4e+07,70,住宅,第１種中高層住居専用地域,16,0,2,LDK,1
7,2.8e+07,50,その他,近隣商業地域,20,0,2,LDK,0
6,1.8e+07,65,住宅,近隣商業地域,12,0,3,LDK,0
11,3.3e+07,60,住宅,第１種中高層住居専用地域,23,0,2,LDK,0
6,1.9e+07,20,住宅,近隣商業地域,12,0,1,K,0
6,1.6e+07,20,住宅,近隣商業地域,12,0,1,K,0
13,1.1e+07,15,住宅,第１種中高層住居専用地域,27,0,1,K,0
11,3.9e+07,65,住宅,第１種中高層住居専用地域,23,0,3,LDK,0
5,3.6e+07,50,住宅,近隣商業地域,18,0,2,LDK,0
14,3.7e+07,65,住宅,第１種中高層住居専用地域,14,0,3,LDK,0
14,2.1e+07,45,住宅,第１種中高層住居専用地域,34,0,3,LDK,0
6,2.4e+07,20,その他,近隣商業地域,12,0,1,K,0
10,5e+07,70,住宅,第１種中高層住居専用地域,9,0,3,LDK,0
14,1.6e+07,40,その他,第１種中高層住居専用地域,34,0,1,LDK,0
13,3.5e+07,70,住宅,第１種中高層住居専用地域,30,1,3,LDK,0
9,4e+07,60,住宅,第１種中高層住居専用地域,6,0,3,LDK,0
5,9600000,15,住宅,商業地域,29,1,1,K,0
6,4.6e+07,65,住宅,商業地域,6,1,3,LDK,0
5,1.4e+07,25,住宅,商業地域,29,0,1,K,0
5,1.4e+07,30,住宅,商業地域,29,0,2,DK,0
7,2.6e+07,25,住宅,商業地域,2,0,1,K,0
6,1.5e+07,55,住宅,商業地域,43,0,3,LDK,0
5,7900000,15,その他,商業地域,29,0,1,K,0
10,2.2e+07,20,その他,第１種住居地域,9,0,1,K,0
10,3.9e+07,60,住宅,近隣商業地域,12,0,3,LDK,0
6,1.1e+07,30,その他,第１種住居地域,44,0,1,K,0
6,6700000,30,その他,第１種住居地域,44,0,2,DK,0
6,2.6e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.2e+07,25,住宅,準工業地域,9,0,1,K,0
5,3e+07,55,住宅,工業地域,9,0,2,LDK,0
6,2.5e+07,25,住宅,準工業地域,3,1,1,K,0
6,2.6e+07,25,住宅,準工業地域,3,0,1,K,0
8,3.7e+07,60,住宅,工業地域,9,0,3,LDK,0
6,1.7e+07,25,住宅,準工業地域,9,0,1,K,0
6,2.5e+07,25,住宅,準工業地域,3,0,1,K,0
10,2.6e+07,55,住宅,準工業地域,41,1,2,LDK,0
6,2.1e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.1e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.5e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.5e+07,25,その他,準工業地域,3,0,1,K,0
6,2.6e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.6e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.6e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.5e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.5e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.5e+07,25,住宅,準工業地域,3,0,1,K,0
6,2.6e+07,25,その他,準工業地域,3,0,1,K,0
8,2e+07,60,住宅,第１種住居地域,41,0,3,LDK,0
13,1.6e+07,60,住宅,準工業地域,37,0,3,LDK,0
6,2.9e+07,65,住宅,近隣商業地域,18,0,3,LDK,0
7,4.1e+07,75,住宅,準工業地域,12,1,2,LDK,1
6,4.2e+07,70,その他,準工業地域,6,0,3,LDK,0
6,4.3e+07,70,住宅,準工業地域,6,0,3,LDK,0
8,2.2e+07,60,住宅,準工業地域,41,1,3,LDK,0
8,1.9e+07,60,住宅,第１種住居地域,41,0,3,LDK,0
6,3.4e+07,55,住宅,準工業地域,6,0,2,LDK,0
7,4e+07,70,住宅,準工業地域,11,1,3,LDK,0
4,4.8e+07,65,住宅,商業地域,6,0,3,LDK,0
5,1.8e+07,20,住宅,商業地域,10,1,1,K,0
5,1.8e+07,20,住宅,商業地域,10,0,1,K,0
2,5.2e+07,65,住宅,商業地域,6,0,3,LDK,0
6,2e+07,30,住宅,準工業地域,8,0,1,DK,0
3,1.9e+07,20,住宅,商業地域,14,0,1,K,0
5,3.2e+07,50,住宅,商業地域,6,0,2,DK,0
5,3.5e+07,50,住宅,商業地域,6,1,2,LDK,0
4,4.2e+07,65,住宅,商業地域,6,0,3,LDK,0
2,4.5e+07,65,住宅,商業地域,6,0,3,LDK,0
5,2.3e+07,35,住宅,商業地域,6,0,1,LDK,0
9,4.7e+07,65,住宅,準工業地域,4,0,3,LDK,0
9,4.7e+07,65,住宅,準工業地域,4,0,3,LDK,0
1,1.9e+07,40,住宅,商業地域,26,1,2,DK,0
4,3.1e+07,65,住宅,商業地域,24,1,3,DK,0
4,1e+07,15,住宅,商業地域,24,1,1,K,0
4,1e+07,15,住宅,商業地域,24,1,1,K,0
4,1.2e+07,30,住宅,商業地域,24,0,1,DK,0
2,3.3e+07,50,住宅,準工業地域,7,0,2,LDK,0
1,3.4e+07,75,住宅,準工業地域,18,0,3,LDK,0
4,3.3e+07,60,住宅,第１種住居地域,32,1,3,LDK,0
1,4e+07,70,住宅,準工業地域,18,1,3,LDK,0
6,1.7e+07,45,住宅,第１種住居地域,48,1,2,LDK,0
6,1.2e+07,40,住宅,第１種住居地域,48,0,1,DK,0
7,4.8e+07,95,住宅,準工業地域,18,0,4,LDK,0
7,3.9e+07,75,住宅,準工業地域,18,0,3,LDK,0
7,3.9e+07,65,住宅,準工業地域,14,1,3,LDK,0
13,1.5e+07,55,住宅,第１種中高層住居専用地域,24,0,2,LDK,0
13,1.4e+07,50,住宅,第１種中高層住居専用地域,24,0,2,LDK,0
